caption,username,post_url,filename,google_drive_link
"Famous theoretical physicist, Albert Einstein, photographed by American photographer Philippe Halsman in 1947. Credit: @lorenzofolli_history_in_color⁠ #history #einstein #science",historycolored,https://www.instagram.com/p/DQuyJlWEz1d/,post_0.jpg,https://drive.google.com/uc?id=1wQ7UTi7WgRiJOjablZNVUuIYa0s2h1rl
"Restored footage from 1911 of pedestrians walking on Herald Square as the Sixth Avenue Elevated railway passes above in New York City.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: A Tale of Interiors / Arden Forest / Epidemic Sound  #history #newyork #nyc #historicalfootage",historycolored,https://www.instagram.com/p/DQxKDf-CB4u/,post_1.jpg,https://drive.google.com/uc?id=1__A4-Qj1TQgBpxt1QVxM4KzW_I6W1itp
"Princess Elizabeth (later Queen Elizabeth II) (right) and Princess Margaret (left) photographed together in the Music Room of the Buckingham Palace on the 20 December 1938. Dookie, the first Pembroke Welsh Corgi to join the Royal Family is standing underneath the piano. Credit: @royaltyincolour⁠ #history #elizabethii #monarch",historycolored,https://www.instagram.com/p/DQzZbqXEtR4/,post_2.jpg,https://drive.google.com/uc?id=1rNHdbMIiPh2h1ObHSM8A2t36EprpgsyB
"Restored footage from 1911 of pedestrians walking along Brooklyn Bridge in New York City as trolleys pass by both sides of the walkway.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Morning Star / Megan Wofford / Epidemic Sound  #history #newyork #nyc #historicalfootage",historycolored,https://www.instagram.com/p/DQ2RelPiEUJ/,post_3.jpg,https://drive.google.com/uc?id=1meNFMasYHET4C9_9zR_f4cSZLBApzWf5
Artillery officers and medics equipped with their masks photographed in 1916. Credit: @colourizedjackson⁠ #history #wwi #soldiers,historycolored,https://www.instagram.com/p/DQuP2dXErat/,post_4.jpg,https://drive.google.com/uc?id=1MQQNDLwSkyR9tiSMYt1Ic26SUy27VPBj
"Civilians enter a bomb shelter in Helsinki, Finland as air-raid sirens start, with Soviet bombers inbound. Photograph taken on the 30 November 1939. Credit: @julius.backman⁠ #history #war #shelter",historycolored,https://www.instagram.com/p/DQw0pKEk7yf/,post_5.jpg,https://drive.google.com/uc?id=16SeZVzh9pkqD932Zcgi4GbSvyoRfPof8
"A newsstand vendor in Paris, France, sweeps the pavement outside her kiosk after a heavy rain shower on the 9 June 1955. Credit: @sebcolorisation⁠ #history #paris #france",historycolored,https://www.instagram.com/p/DQ1-OHvEk75/,post_6.jpg,https://drive.google.com/uc?id=1iO8om_wYP-ySlq28NVSU0xA44iB_vHgl
"Restored footage from 1911 showing a view from the top of the Flatiron Building in Manhattan, New York City.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Oríro / Anders Schill Paulsen / Epidemic Sound  #history #newyork #nyc #historicalfootage",historycolored,https://www.instagram.com/p/DQukmmeiMBD/,post_7.jpg,https://drive.google.com/uc?id=1Kd3O06y1kzFcvOXKE1ZQCP6Y9uQ3d4e_
"Limestone miners in Degerhamn Öland, Sweden photographed in 1906. Credit: @julius.backman⁠ #history #limestone #miner",historycolored,https://www.instagram.com/p/DQrrEOdEp94/,post_8.jpg,https://drive.google.com/uc?id=1zr48kJrMqfUokhbT6Kp-PXBp0Hg9QS8U
"Photograph of the oldest house in Hamburg, Germany taken in 1898. It was built in 1524 and, despite protests from locals, was demolished on 8 December 1910. Credit: @color_byangelina",historycolored,https://www.instagram.com/p/DQR7EG4Ekwh/,post_9.jpg,https://drive.google.com/uc?id=1gP6GtHD7M__ccMouXGrcRv5755NrtzXm
"Marilyn Monroe standing between Attorney General Robert F. Kennedy (left) and President John F. Kennedy (right) at the townhouse of Hollywood executive Arthur Krim following the gala held at Madison Square Garden celebrating JFK's 45th Birthday. Photograph taken by Cecil W. Stoughton on the 19 May 1962. At the gala Marilyn Monroe famous sang ""Happy Birthday, Mr. President"". Credit: @color_byangelina⁠ #history #marilynmonroe #jfk",historycolored,https://www.instagram.com/p/DQXEtESk6c8/,post_10.jpg,https://drive.google.com/uc?id=1ef1srUFIScuXrz5ctrr0ZpsLSBXRtfiC
Queen Victoria and Prince Albert photographed by Roger Fenton on the 30 June 1854. Credit: @royaltyincolour⁠ #history #queenvictoria,historycolored,https://www.instagram.com/p/DQZpfSvkysb/,post_11.jpg,https://drive.google.com/uc?id=1WAMEBwVlKPi5a5CzC1YlUnbAVkNAPMx6
"Restored footage from 1911 of people at a shoe shining station in City Hall Park in New York City, United States.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Mien / Ever So Blue / Epidemic Sound  #history #newyork #nyc #historicalfootage",historycolored,https://www.instagram.com/p/DQVRbxxCLNE/,post_12.jpg,https://drive.google.com/uc?id=1kK5lmf_TRXC1E6KdD3_ACJ1vuR5Em7Gl
US President Franklin D. Roosevelt and UK Prime Minister Winston Churchill photographed together at the Casablanca Conference in January 1943. Credit: @spektonzcolorizations⁠ #history #ww2 #churchill #roosevelt,historycolored,https://www.instagram.com/p/DQcORtmE68U/,post_13.jpg,https://drive.google.com/uc?id=1-Nvc0cIxX74JbZTSgOSY4n37Byx50SDT
An unidentified Australian soldier (most likely belonging to the 3rd Royal Australian Regiment) photographed by Carl Mydans in Korea in February 1951. Credit: @tlcolours⁠ #history #koreanwar #australia,historycolored,https://www.instagram.com/p/DQj8odsEurt/,post_14.jpg,https://drive.google.com/uc?id=13jOoR4P-uc6cFqnbVUiU8e-i_qPJORST
"Swedish fighter pilot with his American imported Seversky P-35 (J9) airplane photographed at Roma airfield, in Gotland, Sweden in 1941. Credit: @julius.backman⁠ #history #sweden",historycolored,https://www.instagram.com/p/DQhlkFLE3fZ/,post_15.jpg,https://drive.google.com/uc?id=1cvefKtbCApbf-yw6WXhsMmtFxZ-5QoDy
German Soldiers in a trench holding a saw-tooth bayonet and wearing his brow plate slid down to his neck. Photograph taken during the First World War 1914-1918. Credit: @marinaarts⁠ #history #ww1 #soldier,historycolored,https://www.instagram.com/p/DQpGSb2kwtD/,post_16.jpg,https://drive.google.com/uc?id=1sL0XIpORTLs-PwkWabc2NagKjiUCyMPd
"Buyers and farmers waiting around outside Roycroft's tobacco warehouse in Durham, North Carolina during the auction sales. Photograph taken by Marion Post Wolcott in November 1939. Credit: @sebcolorisation⁠ #history #northcarolina #usa",historycolored,https://www.instagram.com/p/DQUf6gZjeib/,post_18.jpg,https://drive.google.com/uc?id=1SVwcQRaFcEoa-cXSd5q1Z1a0_uTCblCX
"Restored footage from 1911 of people walking on the sidewalk along Broadway in New York City.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Crimson Sunsets / Anna Landström / Epidemic Sound  #history #newyork #nyc #historicalfootage",historycolored,https://www.instagram.com/p/DQXhmBkiECS/,post_19.jpg,https://drive.google.com/uc?id=180q_YOPaZdoLGn6e1YPw5v-ZJfAZ6NGe
"King Edward VII and Queen Alexandra of the United Kingdom in their coronation robes on the day of their coronation, 9 August 1902. Credit: @royaltyincolour⁠ #history #monarch #monarchy",historycolored,https://www.instagram.com/p/DQKF4QOE73Y/,post_20.jpg,https://drive.google.com/uc?id=1Yk8Sc0CSk_IXVWLN-4e5ffA6hNO0cj0T
"Restored footage from 1911 of pedestrians passing by the New York Herald building in New York City. The building was demolished in 1921.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Mindstream / Amber Glow / Epidemic Sound  #history #newyork #nyc #historicalfootage",historycolored,https://www.instagram.com/p/DQSS-DeiAUL/,post_21.jpg,https://drive.google.com/uc?id=1-i84_2didxGgbRSh23mFe0I9ejmR-Qm-
"US Marines dig in on a forward position, facing entrenched Japanese troops on the slopes of Mount Suribachi, Iwo Jima, on the 22 February 1945. Credit: @colourisedpieceofjake⁠ #history #iwojima #ww2",historycolored,https://www.instagram.com/p/DQMqqwsEzfC/,post_22.jpg,https://drive.google.com/uc?id=1X7bd9uSVEEmex46c9WZj9W88rgWc7nn8
"King's Chapel on the corner of Tremont Street and School Street in Boston, Massachusetts, photographed in 1909. Credit: @sebcolorisation⁠ #history #kingschapel #boston",historycolored,https://www.instagram.com/p/DP_yq89k1p8/,post_23.jpg,https://drive.google.com/uc?id=1UGkyE4kiX1AabjaxaK_xSx4EAaasNmSR
People watching television at Waterloo Station in London in 1936. Credit: @color_byangelina⁠ #history #television #tv,historycolored,https://www.instagram.com/p/DQE8RrNiSfo/,post_24.jpg,https://drive.google.com/uc?id=1BhNbghlGTvjQ3iZ41q04n1cTN-DZF4nB
"Restored footage from 1911 of pedestrians and vehicles traveling on the roads and sidewalks in front of the Flatiron Building in Manhattan, New York City.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Intangible / Franz Gordon / Epidemic Sound  #history #newyork #nyc #historicalfootage",historycolored,https://www.instagram.com/p/DQpcEwHCEHb/,post_25.jpg,https://drive.google.com/uc?id=1LtqFtx75B8onBt8W4--jnnpDpBfW9cAf
"Restored footage from 1911 showing a woman pushing a stroller near the John Ericsson Statue located in Battery Park, New York City.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Nagi / Sayuri Hayashi Egnell / Epidemic Sound  #history #nyc #newyork #historicalfootage",historycolored,https://www.instagram.com/p/DQCmb_7CF2K/,post_26.jpg,https://drive.google.com/uc?id=1c4IQGI5WuX4pX3xHEa54lchDTmjb6Egl
"Restored footage from 1920 of legendary baseball player Babe Ruth warming up for the New York Yankees in a game in Cleveland, Ohio against the Cleveland Indians.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: Baseball slow motion pictures—how Babe Ruth knocks a home run, Library of Congress  Music: Remove The Complexities / Peter Sandberg / Epidemic Sound  #history #baseball #baberuth #historicalfootage",historycolored,https://www.instagram.com/p/DQK5cerCAj1/,post_27.jpg,https://drive.google.com/uc?id=1DeIGPIvZoEc4jVPtNNwDvEtgK7fkYTJR
"Restored footage from 1911 showing a view from the top of the Flatiron building in New York City looking northeast.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Mindstream / Amber Glow / Epidemic Sound  #history #nyc #newyork #historicalfootage",historycolored,https://www.instagram.com/p/DQHIW6_CPAl/,post_28.jpg,https://drive.google.com/uc?id=1hOoxu64nRYuPxZPZfgJ7yMo8bDqMaXgM
"Portrait of American abolitionist John Brown taken by Augustus Washington in c. 1847. Brown was a leading figure in the abolitionist movement in the years prior to the American Civil War, first reaching national prominence in the 1850s for his radical abolitionism and fighting in Bleeding Kansas. In 1859, Brown was captured, tried, and executed by the Commonwealth of Virginia for his raid on Harpers Ferry. The raid was done in an effort to initiate a slave revolt in southern states by taking control of a federal armory and arsenal. Credit: @julius.backman⁠ #history #johnbrown #usa",historycolored,https://www.instagram.com/p/DQHhHyPE7Ef/,post_29.jpg,https://drive.google.com/uc?id=1G6YDBeZzxAtAm3v5guNA8F5fyKEx9nEq
Tsar Nicholas II of Russia photographed writing at his desk in the Winter Palace. Photograph taken in c. late 1890s. Credit: @royaltyincolour⁠ #history #nicholasii,historycolored,https://www.instagram.com/p/DQPPbMYEz5y/,post_30.jpg,https://drive.google.com/uc?id=1gKSEU72xav95AwqYuFOLr133j-nA9EJ3
"Restored footage from 1917 showing a group of Irish soldiers who took part in the Battle of Messines during World War I. When this footage was taken they were at a rest camp.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: The Capture of Messines, US National Archives  Music: Mindstream / Amber Glow / Epidemic Sound  #history #wwi #worldwari #historicalfootage",historycolored,https://www.instagram.com/p/DP9--fICMm-/,post_31.jpg,https://drive.google.com/uc?id=1DtYP0vk_CnNyryWtC1DuNEvqDvyn_X4D
King George V of the United Kingdom photographed by E.O. Hoppé in 1921. Credit: @royaltyincolour⁠ #history #kinggeorgev #ukhistory,historycolored,https://www.instagram.com/p/DP4EVcED00x/,post_32.jpg,https://drive.google.com/uc?id=1oO6RlnguHpojXX0H37V5QkUxyqJpCECK
"Restored footage from 1911 showing a man getting off of a streetcar and walking down Fifth Avenue in New York City, United States.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Mindstream / Amber Glow / Epidemic Sound  #history #nyc #newyork #historicalfootage",historycolored,https://www.instagram.com/p/DP143ZhiPOy/,post_33.jpg,https://drive.google.com/uc?id=1lsnT32FxZ3lDQrfMB0XTnTU8g3or7r8A
"A tintype cameraman on the streets of San Antonio, Texas photographed by Russell Lee in March 1939. Credit: @sebcolorisation⁠ #history #camera #texas",historycolored,https://www.instagram.com/p/DP1fjo1E0bo/,post_34.jpg,https://drive.google.com/uc?id=10Zd2Y56A4HijDsemag8BTNB8MLntXgmh
"People having fun on the ice in Brussels, Belgium, photographed by Jacques Hersleven in c. 1930. Credit: @rdbcolors⁠ #history #belgium #iceskating",historycolored,https://www.instagram.com/p/DPtxHKAE1kG/,post_35.jpg,https://drive.google.com/uc?id=1H_rtN8BYxSA0yn4paFyc_CqfVT5nglev
"Restored footage from 1911 showing a man strolling along Madison Avenue in New York City, United States.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Dismantle / Peter Sandberg / Epidemic Sound  #history #nyc #newyork #historicalfootage",historycolored,https://www.instagram.com/p/DP7CZZoCHTn/,post_36.jpg,https://drive.google.com/uc?id=1GiWCWHgtybgGBH-if4hKgkhsvvgrn3h0
"Restored footage from 1911 showing Mott Street, a street in Chinatown, New York City.  Footage frame rate increased, upscaled and “colorized” by HistoryColored using AI technology.  Footage originally from: New York 1911, Wikimedia Commons  Music: Sprinkle / Johannes Bornlöf / Epidemic Sound  #history #nyc #newyork #historicalfootage",historycolored,https://www.instagram.com/p/DP4V_rYiPMW/,post_37.jpg,https://drive.google.com/uc?id=1LMYmQBezUjzTsuyi4mtP-qisSmsONb0I
